Year of Installation,SA,AADT,PRESSURE(bar),MWI_1,A_MAT,LANDUSE,TYPE,LPR_Corros,DEFECT1LV1,DEF_NATURE
1980,2.112592,13720,7.71,5.783436675,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,5.126364,10360,6.82,6.276251886,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,1.460728,,7.1,6.392326741,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1991,2.08182,,6.69,6.276251886,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1989,0.406316,80000,9.49,5.51644716,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1996,135.826509,11880,3.93,6.318402446,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1988,50.926404,10360,7.17,6.325400125,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,1.57471,,5.8,4.917470894,DI,URBAN,Other Location,Mildly Corrosive,C03,J
1956,11.0899776,12990,7.18,5.958033661,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1998,21.448398,,7.31,6.325400125,DI,RURAL,Other Location,Highly Corrosive,C03,M
1992,18.777828,15050,7.1,6.325400125,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2004,14.411658,,6.07,6.295858061,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
2005,21.765852,2520,6.5,5.875848117,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2003,6.967032,11760,7.64,5.891424467,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2002,78.764388,6120,7.17,6.325400125,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1982,2.940924,8220,4.06,6.435139115,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1990,0.687189,22750,12.42,5.958776097,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1993,29.182218,5960,7.03,6.325400125,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2004,6.537009,5140,5.46,6.384832842,DI,URBAN,FOOTWAY,Non-Corrosive,C03,M
1985,4.953036,13620,7.71,6.391520953,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1995,2.964631,,6.71,6.143991334,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1980,3.611157,37330,6.5,6.493722871,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1989,1.715382,,4.36,6.607643118,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1998,0.68295,14770,5.25,6.385063608,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2006,6.07276,122330,4.75,6.520280695,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1956,2.702127,5940,5.89,6.415811401,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
1991,2.091554,12670,5.58,6.493722871,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,2.690352,65600,6.27,6.848047886,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2004,33.074876,15050,6.62,6.965449477,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,J
1992,2.970597,,2.02,6.582802913,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2003,5.000764,,5.79,6.965449477,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,3.685104,,6,6.965449477,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,1.02678,16850,7.93,11.04068622,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1995,2.044611,10190,9.15,6.78911578,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1956,7.2154688,860,6.36,6.391520953,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1998,0.71121,80000,5.55,6.122895566,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
1956,0.921904,4350,7.09,6.66525783,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,J
2000,9.741693,5960,6.55,7.075767818,DI,RURAL,Other Location,Mildly Corrosive,C05,J
2000,2.520321,,4.95,6.739853107,DI,RURAL,Other Location,Mildly Corrosive,C03,J
1993,9.877812,13340,0.33,6.422458133,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1956,2.0098512,21880,5.5,6.66525783,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,10.138746,,5.02,6.678580184,DI,RURAL,Other Location,Mildly Corrosive,C03,J
2006,0.1008725,,11.48,6.652139821,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,3.467188,24210,9.15,6.857547523,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,6.141526,,6,7.075767818,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1984,36.465291,18480,6.29,6.804581173,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2002,13.189256,11780,6.96,7.075767818,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1981,60.255344,,6.42,6.868868214,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,0.35796,,7.17,7.075767818,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1993,3.5391568,5440,8.04,6.426658059,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1980,35.7477225,29520,11.48,6.849758695,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1994,23.462394,26320,12.31,6.806748848,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2000,14.052285,13520,7.87,6.573257433,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2003,5.622484,70750,1.27,6.66525783,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1989,297.22926,12070,5.36,7.062355577,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
2000,70.624095,,4.43,8.10941549,DI,URBAN,Other Location,Mildly Corrosive,C01,J
1988,36.316926,34420,7.49,8.499427858,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,J
1994,3.2656,6120,4.97,8.589755438,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1999,6.9125216,21200,5.99,8.506240975,DI,RURAL,Other Location,Mildly Corrosive,C01,J
1988,94.199529,,4.43,8.582737472,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2005,21.551076,29780,6.04,7.619826611,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2008,42.025446,14910,5.5,8.265901253,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
2000,38.350704,15200,7.03,8.227127212,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
2007,1.203248,22160,3.99,8.175593791,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1999,8.565606,20890,13.2,8.36201781,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1997,31.366402,,6.89,8.358676905,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1993,0.2999328,17420,5.38,6.152197101,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1986,0.3925,87060,5.29,8.016723587,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1963,25.965916,,5.65,8.443826725,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1996,56.787528,13100,5.74,8.248107806,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,M
1999,0.904006,54930,1.52,8.129902079,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1993,0.7538512,4640,7.57,8.013913715,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1994,10.549144,,9.27,8.142531533,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2004,11.141034,15380,12.48,8.248107806,DI,URBAN,FOOTWAY,Non-Corrosive,C05,M
2007,2.601804,2500,9.9,8.146357701,DI,URBAN,FOOTWAY,Non-Corrosive,C01,J
1994,4.401652,10470,2.25,7.947248518,DI,URBAN,FOOTWAY,Non-Corrosive,C03,J
2003,1.068856,11690,7.8,8.071351933,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2006,34.936268,14300,7.71,7.947248518,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1988,60.96624,,8.39,7.968400781,DI,RURAL,Other Location,Non-Corrosive,C03,J
2010,13.523823,3260,4.36,7.86183532,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,J
1989,94.199529,,4.36,7.78355063,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1984,85.53203,12470,1.67,7.903473242,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1998,42.278216,,0.98,7.606115732,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1995,40.842922,,3.69,11.40076443,DI,URBAN,Other Location,Mildly Corrosive,C03,M
1995,3.391671,12290,7.78,7.81185615,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2004,43.240155,15060,3.35,7.89014084,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1997,12.36532,22350,7.03,8.040179399,DI,URBAN,FOOTWAY,Highly Corrosive,C03,J
2000,8.413944,,6.55,8.040179399,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2003,55.82449,17000,6.82,8.040179399,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1991,0.5227472,,5.88,7.16183887,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,17.380842,23030,5.35,6.94224771,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,M
1990,2.033778,7040,12.28,6.900810099,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,7.92536,13300,6.68,7.804912741,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1987,118.53657,36580,6.73,7.991980835,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1997,14.336769,7190,7.73,6.95288301,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1991,1.010138,19170,8.13,7.538382134,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2007,38.42418,16640,9.29,7.400243683,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
2004,33.496264,15060,3.49,7.88343044,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1989,54.184625,3910,11.83,8.047195973,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1987,7.561434,21010,7.79,7.686230684,DI,RURAL,Other Location,Mildly Corrosive,C03,J
2007,1.084556,3560,5.97,7.790407481,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C04,M
2007,147.570894,15280,6.27,7.40289627,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1994,6.507964,12420,7.17,7.556221964,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1994,23.24542,5820,4.97,7.564826459,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1990,33.86804,31600,10.8,7.270074702,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
1997,8.338584,86540,6.55,6.221309561,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1990,23.32706,,9.08,8.907988376,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1991,48.103544,,6.55,6.8844792,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,M
1992,6.350964,9060,7.03,8.056970424,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,4.594605,5320,1.02,6.934854628,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C01,J
2008,8.643321,11090,7.77,7.422198851,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1998,18.7581088,,6.27,6.992698082,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2001,6.866709,100520,7.22,7.011249887,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
2001,1.21675,,3.03,7.204420549,DI,URBAN,Other Location,Mildly Corrosive,C05,J
1992,9.623472,9060,7.03,7.34477171,DI,WATERBODY,CARRIAGEWAY,Mildly Corrosive,C03,M
2008,55.618035,11090,6.6,7.126795281,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1991,7.9599,6380,6.69,7.204420549,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,17.4825152,,10.1,6.898650374,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1988,2.178846,32230,11.62,7.114444642,DI,URBAN,FOOTWAY,Mildly Corrosive,C02,J
1998,1.9947792,,5.93,6.953999884,DI,RURAL,Other Location,Mildly Corrosive,C01,J
2003,0.558606,,6.13,7.029211128,DI,URBAN,Other Location,Mildly Corrosive,C01,J
1990,0.2265824,10340,4.58,11.67645983,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1995,15.330265,13980,7.87,7.023941127,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2001,0.589692,7440,0.33,6.367660741,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1995,12.56942,,5.34,6.501165454,DI,RURAL,Other Location,Mildly Corrosive,C05,M
1999,0.849056,90480,5.49,6.763978133,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2003,11.989305,,5.33,6.649251733,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,J
1996,14.581689,22930,11.89,6.536061751,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1989,0.2355,16040,7.03,6.501165454,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,J
1984,0.97654,8280,2.67,6.367660741,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1980,58.587062,,7.1,6.631405564,DI,URBAN,FOOTWAY,Highly Corrosive,C05,J
1990,0.322792,13310,7.71,7.543375256,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,8.2772912,9130,6.58,6.73090786,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1999,1.666398,26410,7.99,8.805409156,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,1.496838,22980,7.85,7.695630255,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
1992,19.039076,22930,11.2,6.582867457,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2008,2.225004,11360,6.2,6.583460389,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,J
1990,63.260952,9060,6.62,6.524917067,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1980,42.130008,2840,2.8,6.489535045,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1994,50.1367568,,8.72,6.578907548,DI,RURAL,Other Location,Mildly Corrosive,C02,J
1999,9.65864,22350,7.1,6.689727003,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C05,M
2003,11.715654,6380,6.75,6.689727003,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1989,32.664321,20350,7.62,6.907787149,DI,URBAN,FOOTWAY,Highly Corrosive,C03,J
1997,21.043809,,7.93,6.489221975,DI,URBAN,Other Location,Highly Corrosive,C01,M
1985,0.395169,16810,6.03,6.330243833,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
1988,30.96354,7840,7.45,7.627448436,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2005,173.805594,123770,7.86,7.58960004,DI,RURAL,FOOTWAY,Mildly Corrosive,C01,M
2002,9.149646,,5.93,7.769092884,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2001,0.59032,22690,6.06,7.005203879,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2002,1.025367,14120,6.56,7.450382728,DI,URBAN,FOOTWAY,Non-Corrosive,C01,M
2000,4.39914,5140,1.91,7.511419709,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1991,15.3053648,17790,5.67,7.80663224,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2000,3.086463,3260,4.36,7.627448436,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1991,1.363545,77800,5.69,7.725487156,DI,URBAN,CARRIAGEWAY,Non-Corrosive,C05,M
1989,19.801154,22030,4.76,7.905747479,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1991,161.832303,3260,4.36,7.627448436,DI,URBAN,FOOTWAY,Highly Corrosive,C03,M
1980,1.89342,8620,5.78,7.450382728,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C01,M
1987,86.125176,15510,12.28,7.369470929,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
2001,15.070116,,6,7.714315639,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2000,7.417622,25430,7.17,7.511183672,DI,URBAN,FOOTWAY,Highly Corrosive,C05,M
2003,2.010228,17000,6.69,7.714315639,DI,RURAL,FOOTWAY,Mildly Corrosive,C03,M
1985,1.420536,17860,9.22,7.713621264,DI,URBAN,Other Location,Mildly Corrosive,C03,M
2001,11.773116,,5.44,7.714315639,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1989,5.16844,21040,5.28,7.414936513,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1981,5.112705,89700,4.83,10.66545339,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,M
1992,6.438256,14380,7.17,8.571452825,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1989,10.213164,12370,5,7.564325192,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,N
2000,3.045486,4440,3.78,7.928884838,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C05,M
2009,46.427255,4720,9.76,7.412366549,DI,URBAN,Other Location,Mildly Corrosive,C01,M
2009,0.374288,23030,5.28,7.522776476,DI,RURAL,Other Location,Mildly Corrosive,C01,M
2005,17.326834,,7.24,7.714315639,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1991,24.467508,16640,9.22,7.721963543,DI,URBAN,FOOTWAY,Mildly Corrosive,C03,J
1983,12.45324,,7.79,11.58151291,DI,URBAN,CARRIAGEWAY,Highly Corrosive,C03,M
1990,0.974499,24140,6.2,8.227517551,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1990,5.1928064,9620,4.58,7.689505696,DI,URBAN,FOOTWAY,Highly Corrosive,C01,M
1990,0.508209,7040,12.28,7.930843952,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1985,4.385952,15220,7.85,8.073672667,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1992,5.241288,14040,7.1,8.216815016,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
1999,0.583098,16150,5.74,8.083961334,DI,URBAN,Other Location,Non-Corrosive,C01,M
2001,83.832348,,4.36,8.216815016,DI,RURAL,Other Location,Highly Corrosive,C01,M
2008,59.862216,6380,6.75,8.415633645,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,M
1994,6.599181,14520,5.28,7.972370885,DI,URBAN,Other Location,Mildly Corrosive,C05,J
2000,13.1940288,,2.79,7.931021431,DI,RURAL,Other Location,Non-Corrosive,C01,M
1983,0.589692,2810,6.01,8.163325664,DI,URBAN,FOOTWAY,Highly Corrosive,C03,M
2002,6.068364,9240,5.35,8.216815016,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2006,6.147021,3260,7.17,8.415633645,DI,URBAN,FOOTWAY,Mildly Corrosive,C01,M
1992,29.651805,1480,5.21,8.216815016,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C03,M
2003,1.186292,22930,10.44,8.088448591,DI,URBAN,CARRIAGEWAY,Mildly Corrosive,C01,J
1992,0.8478,15900,5.58,8.227517551,DI,URBAN,Other Location,Mildly Corrosive,C01,M
1987,50.2397488,,3.27,6.321313094,DI,RURAL,Other Location,Mildly Corrosive,C01,M
1997,36.617424,,6.27,8.415633645,DI,RURAL,Other Location,Mildly Corrosive,C04,J
1994,22.76971,43110,4.73,8.208335778,DI,URBAN,FOOTWAY,Mildly Corrosive,C05,M
